filename,extension,path,md5,console
"World Grand Prix (USA, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/World Grand Prix (USA, Brazil).zip",a4e736add72406f39ba6daee4a3ffb2e,mastersystem
"Shanghai (USA, Europe).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Shanghai (USA, Europe).zip",4f2cbe2b9b0652637080a7a89c079985,mastersystem
Reggie Jackson Baseball (USA).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Reggie Jackson Baseball (USA).zip,b028a7b5257e7d1754ec4b5316944485,mastersystem
"Dick Tracy (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Dick Tracy (USA, Europe, Brazil).zip",2d09c899017046dd290cd3dfab03b6c3,mastersystem
"Black Belt (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Black Belt (USA, Europe, Brazil).zip",262d5ffd914d07c7095e4b2121360123,mastersystem
"Sonic The Hedgehog (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Sonic The Hedgehog (USA, Europe, Brazil).zip",e56094feb8f03e919e108f97199d8f11,mastersystem
"Alex Kidd in Miracle World (USA, Europe).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Alex Kidd in Miracle World (USA, Europe).zip",eaf2f98b64c1381c961d0f6b402ddc54,mastersystem
"Rambo III (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Rambo III (USA, Europe, Brazil).zip",b8f981cbc0c3b3e95b0da69de2d173c9,mastersystem
Waimanu - Scary Monsters Saga.zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Waimanu - Scary Monsters Saga.zip,bc1d29b7498da206ae8034e95f443d44,mastersystem
Captain Silver (USA) (Beta).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Captain Silver (USA) (Beta).zip,94da839d16a5ae4360fc072aa387cde9,mastersystem
"Vigilante (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Vigilante (USA, Europe, Brazil).zip",1a41bea6e9197bec9ae80b5bff385a9c,mastersystem
Captain Silver (USA).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Captain Silver (USA).zip,21a64c538d2dad933a190219ed27f6ef,mastersystem
Great Golf (World) (Beta).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Great Golf (World) (Beta).zip,655a917c7283df6fda65bf3a335acd08,mastersystem
Galactic Revenge.zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Galactic Revenge.zip,1d2c25901ac62d86e824c9a70ee45320,mastersystem
"Dead Angle (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Dead Angle (USA, Europe, Brazil).zip",63a3abca893ec031c152265c5e1cc92b,mastersystem
"Castle of Illusion Starring Mickey Mouse (USA, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Castle of Illusion Starring Mickey Mouse (USA, Brazil).zip",95c715f1e5ff0dcf18863197f0089a74,mastersystem
Great Golf ~ Masters Golf (World).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Great Golf ~ Masters Golf (World).zip,5379869377a2a452ff482c34f94e0bd1,mastersystem
"Kenseiden (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Kenseiden (USA, Europe, Brazil).zip",eca7f21f8d3289d6873d89d9c71531ea,mastersystem
"Shanghai (USA, Europe) (Beta).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Shanghai (USA, Europe) (Beta).zip",3801201c7c1ae562035daed92e87d2ad,mastersystem
Great Basketball (World).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Great Basketball (World).zip,ff3b2443dfc440d71408b74f146b3249,mastersystem
"Great Baseball (USA, Europe).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Great Baseball (USA, Europe).zip",8e88b0fa5b58920396201c4cd2f94cd4,mastersystem
"Alex Kidd - High-Tech World (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Alex Kidd - High-Tech World (USA, Europe, Brazil).zip",c26708b68c1284c31b1620b051f6f13d,mastersystem
Flight of Pigarus.zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Flight of Pigarus.zip,3c2138172ff3c8b69d54a90f1891837c,mastersystem
Rambo - First Blood Part II (USA).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Rambo - First Blood Part II (USA).zip,dbb9c7c99a9e2e028780667a27a05eb8,mastersystem
"Parlour Games (USA, Europe).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Parlour Games (USA, Europe).zip",74b30a6d3901fd8b825ce6cccb269938,mastersystem
Blade Eagle ~ Blade Eagle 3-D (World).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Blade Eagle ~ Blade Eagle 3-D (World).zip,85b4d67bfaef14d7924fb04b6a79cc6d,mastersystem
"My Hero (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/My Hero (USA, Europe, Brazil).zip",f84972638602d174929bc4ff2be924e7,mastersystem
"World Grand Prix (USA, Brazil) (Beta).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/World Grand Prix (USA, Brazil) (Beta).zip",c5067dc6515db3bb8a011b2b67efe035,mastersystem
"R.C. Grand Prix (USA, Europe, Brazil) (Beta).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/R.C. Grand Prix (USA, Europe, Brazil) (Beta).zip",272026820fb099316aef1977db59c3d8,mastersystem
"Phantasy Star (USA, Europe).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Phantasy Star (USA, Europe).zip",2139fc9e0421872b155f6f3d23b7455f,mastersystem
"Spy vs Spy (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Spy vs Spy (USA, Europe, Brazil).zip",27f84ce766194f2187609d60a4c41d5e,mastersystem
"Poseidon Wars 3-D (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Poseidon Wars 3-D (USA, Europe, Brazil).zip",1b9fe41e3e4fcf465ef834d69250a40c,mastersystem
Aerial Assault (USA).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Aerial Assault (USA).zip,3e0c1a80fc280ead5f17ab0a88fb4855,mastersystem
Hang On & Safari Hunt (USA) (Beta).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Hang On & Safari Hunt (USA) (Beta).zip,bda8e73376b7b051b010bd68f2bee6f0,mastersystem
"E-SWAT (USA, Europe, Brazil) (Rev 1).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/E-SWAT (USA, Europe, Brazil) (Rev 1).zip",52c3a921abe7bf7d1435ec4dba924a63,mastersystem
"Marksman Shooting & Trap Shooting (USA, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Marksman Shooting & Trap Shooting (USA, Brazil).zip",065e6465bb3d9a186bc4a0fd80970fa8,mastersystem
"Choplifter (USA, Europe, Brazil) (Beta).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Choplifter (USA, Europe, Brazil) (Beta).zip",11f20f2f775e68a18df0cbf5dd36e79e,mastersystem
"Super Tennis (USA, Europe).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Super Tennis (USA, Europe).zip",d3b7d333d227bc5cb7c4c76f7bd90603,mastersystem
R-Type (World).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/R-Type (World).zip,a91884441cf3b10f74b5e0de32750ee2,mastersystem
"R.C. Grand Prix (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/R.C. Grand Prix (USA, Europe, Brazil).zip",d86284284e213492197dbef666e5a2e5,mastersystem
"Wonder Boy III - The Dragon's Trap (USA, Europe) (GOG) (Unl).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Wonder Boy III - The Dragon's Trap (USA, Europe) (GOG) (Unl).zip",677b312f874d069664c0155a1ef2f1f1,mastersystem
