filename,extension,path,md5,console
"Space Harrier (Japan, USA).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Space Harrier (Japan, USA).zip",0719122ef76c49cd55e4113eecc0a72d,mastersystem
"Missile Defense 3-D (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Missile Defense 3-D (USA, Europe, Brazil).zip",f3e88a733300b403ce626993c93428af,mastersystem
"Great Ice Hockey (Japan, USA).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Great Ice Hockey (Japan, USA).zip",88198259863f7856d5f9c23d11d69231,mastersystem
Sports Pad Football (USA).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Sports Pad Football (USA).zip,f10869f9b9809e0d83650d5679bec61f,mastersystem
"Maze Hunter 3-D (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Maze Hunter 3-D (USA, Europe, Brazil).zip",9f6b0e3ff459c8205ba01bf01008c0ed,mastersystem
"Castle of Illusion Starring Mickey Mouse (USA, Europe, Brazil) (Rev 1).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Castle of Illusion Starring Mickey Mouse (USA, Europe, Brazil) (Rev 1).zip",54ce1a743ff318faa0b9342ba5251d6f,mastersystem
Hang-On & Safari Hunt (USA).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Hang-On & Safari Hunt (USA).zip,5a8e622ce5ba9c4264ee4cff99316ce9,mastersystem
Sega Graphic Board (USA) (v2.0) (Proto).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Sega Graphic Board (USA) (v2.0) (Proto).zip,0d9b41c88e3b831e7e0ee37d8059d5d5,mastersystem
Indiana Jones and the Last Crusade (USA) (Proto).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Indiana Jones and the Last Crusade (USA) (Proto).zip,cab764d1e4a62ed60cadeb9e16c9f309,mastersystem
James 'Buster' Douglas Knockout Boxing (USA) (Beta).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/James 'Buster' Douglas Knockout Boxing (USA) (Beta).zip,1a717ea7ff98b02f02d6be4cddc040d6,mastersystem
"E-SWAT (USA, Europe, Brazil) (Beta 3).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/E-SWAT (USA, Europe, Brazil) (Beta 3).zip",013168e00f710d78e04ea2667d7d19be,mastersystem
"Spider-Man (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Spider-Man (USA, Europe, Brazil).zip",53b8592a8faaa5bdc75588799d2462c3,mastersystem
"Columns (USA, Europe, Brazil) (Beta).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Columns (USA, Europe, Brazil) (Beta).zip",8cee90dc0472a3c0e63b48c15f410051,mastersystem
Galaxy Force (USA).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Galaxy Force (USA).zip,19182809bd903aab2780a7c701277aac,mastersystem
F-16 Fighting Falcon (USA).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/F-16 Fighting Falcon (USA).zip,0bd7f58b1083b49827bee0d146541e83,mastersystem
"Choplifter (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Choplifter (USA, Europe, Brazil).zip",09b18e5dd57d90ff2ef33864cef0e0f2,mastersystem
Bomber Raid (World).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Bomber Raid (World).zip,5d88af68f379947b7e5a5cba64ca485a,mastersystem
Prisonnier II.zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Prisonnier II.zip,fce7a39515e4fda39cdaa7ba5f596e0c,mastersystem
Rocky (World).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Rocky (World).zip,314257236a70767e4490c395aa414725,mastersystem
"Ghouls'n Ghosts (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Ghouls'n Ghosts (USA, Europe, Brazil).zip",e2887ba73e660abdad06d244459fd7a2,mastersystem
"Thunder Blade (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Thunder Blade (USA, Europe, Brazil).zip",1bb80f74c8c49667f7eb3dc0b0b2b322,mastersystem
"Space Harrier 3-D ~ Space Harrier 3D (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Space Harrier 3-D ~ Space Harrier 3D (USA, Europe, Brazil).zip",4b1455792cc6bc7b2c6a46975f80c6f8,mastersystem
"Ys - The Vanished Omens (USA, Europe) (Demo).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Ys - The Vanished Omens (USA, Europe) (Demo).zip",97cd7b550b67e85b65488dc56d2a46e3,mastersystem
Super Monaco GP (USA).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Super Monaco GP (USA).zip,4c897504764a4e67ac37c446109c4226,mastersystem
"SpellCaster (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/SpellCaster (USA, Europe, Brazil).zip",af424001cf2ad961b134dfbd1bf78809,mastersystem
King's Quest - Quest for the Crown (USA).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/King's Quest - Quest for the Crown (USA).zip,0327d61b26589a0ccb8b828d9444072f,mastersystem
Slap Shoot (USA) (Beta).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Slap Shoot (USA) (Beta).zip,6f82fcdd5d1c3bc1a996aa31adb0c650,mastersystem
"California Games ~ Jogos de Verao (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/California Games ~ Jogos de Verao (USA, Europe, Brazil).zip",31378cba058e3c6f596f0bfd6b22f243,mastersystem
"Michael Jackson's Moonwalker (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Michael Jackson's Moonwalker (USA, Europe, Brazil).zip",c3f8e14151c61f4dc49c415778442ccd,mastersystem
Platform Explorer.zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Platform Explorer.zip,0d1e7b3449a294aa1d1dcb1b86cce1c6,mastersystem
"E-SWAT (USA, Europe, Brazil) (Beta 2).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/E-SWAT (USA, Europe, Brazil) (Beta 2).zip",10968415997eefddf46f4157afa31df6,mastersystem
Blade Eagle (World) (Beta).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Blade Eagle (World) (Beta).zip,fa11e863eb44b3e2ccf70e799135c19d,mastersystem
Zaxxon 3-D (World).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Zaxxon 3-D (World).zip,ba1447262a1feb4d89b0ff2c3d2a5ebc,mastersystem
Hang On & Astro Warrior (USA).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Hang On & Astro Warrior (USA).zip,5f078bf867f6b50f5618f60e7ab1ecdb,mastersystem
"Wonder Boy (USA, Europe, Brazil) (Rev 1).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Wonder Boy (USA, Europe, Brazil) (Rev 1).zip",6d715a415a9e39b0538d991416211c0b,mastersystem
"Gangster Town (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Gangster Town (USA, Europe, Brazil).zip",888245faa827fdc5e8ed736df16501a7,mastersystem
Walter Payton Football (USA).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Walter Payton Football (USA).zip,4ce659e35cd0e5c8f18c77a37ec0d876,mastersystem
"Golvellius - Valley of Doom (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Golvellius - Valley of Doom (USA, Europe, Brazil).zip",23236fdd08242a3a54b33ae08908b9ab,mastersystem
"Psychic World (Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Psychic World (Europe, Brazil).zip",77061cfbd454605ee8cd9b80f9992cf0,mastersystem
"Alex Kidd in Miracle World (USA, Europe, Brazil) (Rev 1).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Alex Kidd in Miracle World (USA, Europe, Brazil) (Rev 1).zip",4a5cfa046e1adf025171aa91919c8a77,mastersystem
